词语      十进制  符号化反转二进制  二进制       反转二进制 
viable      1946  ○●○●●○○●●●●       11110011010  01011001111
vibrant     1947  ●●○●●○○●●●●       11110011011  11011001111
vicious     1948  ○○●●●○○●●●●       11110011100  00111001111
victory     1949  ●○●●●○○●●●●       11110011101  10111001111
video       1950  ○●●●●○○●●●●       11110011110  01111001111
view        1951  ●●●●●○○●●●●       11110011111  11111001111
village     1952  ○○○○○●○●●●●       11110100000  00000101111
vintage     1953  ●○○○○●○●●●●       11110100001  10000101111
violin      1954  ○●○○○●○●●●●       11110100010  01000101111
virtual     1955  ●●○○○●○●●●●       11110100011  11000101111
virus       1956  ○○●○○●○●●●●       11110100100  00100101111
visa        1957  ●○●○○●○●●●●       11110100101  10100101111
visit       1958  ○●●○○●○●●●●       11110100110  01100101111
visual      1959  ●●●○○●○●●●●       11110100111  11100101111
vital       1960  ○○○●○●○●●●●       11110101000  00010101111
vivid       1961  ●○○●○●○●●●●       11110101001  10010101111
vocal       1962  ○●○●○●○●●●●       11110101010  01010101111
voice       1963  ●●○●○●○●●●●       11110101011  11010101111
void        1964  ○○●●○●○●●●●       11110101100  00110101111
volcano     1965  ●○●●○●○●●●●       11110101101  10110101111
volume      1966  ○●●●○●○●●●●       11110101110  01110101111
vote        1967  ●●●●○●○●●●●       11110101111  11110101111
voyage      1968  ○○○○●●○●●●●       11110110000  00001101111
wage        1969  ●○○○●●○●●●●       11110110001  10001101111
wagon       1970  ○●○○●●○●●●●       11110110010  01001101111
wait        1971  ●●○○●●○●●●●       11110110011  11001101111
walk        1972  ○○●○●●○●●●●       11110110100  00101101111
wall        1973  ●○●○●●○●●●●       11110110101  10101101111
walnut      1974  ○●●○●●○●●●●       11110110110  01101101111
want        1975  ●●●○●●○●●●●       11110110111  11101101111
warfare     1976  ○○○●●●○●●●●       11110111000  00011101111
warm        1977  ●○○●●●○●●●●       11110111001  10011101111
warrior     1978  ○●○●●●○●●●●       11110111010  01011101111
wash        1979  ●●○●●●○●●●●       11110111011  11011101111
wasp        1980  ○○●●●●○●●●●       11110111100  00111101111
waste       1981  ●○●●●●○●●●●       11110111101  10111101111
water       1982  ○●●●●●○●●●●       11110111110  01111101111
wave        1983  ●●●●●●○●●●●       11110111111  11111101111
way         1984  ○○○○○○●●●●●       11111000000  00000011111
wealth      1985  ●○○○○○●●●●●       11111000001  10000011111
weapon      1986  ○●○○○○●●●●●       11111000010  01000011111
wear        1987  ●●○○○○●●●●●       11111000011  11000011111
weasel      1988  ○○●○○○●●●●●       11111000100  00100011111
weather     1989  ●○●○○○●●●●●       11111000101  10100011111
web         1990  ○●●○○○●●●●●       11111000110  01100011111
wedding     1991  ●●●○○○●●●●●       11111000111  11100011111
weekend     1992  ○○○●○○●●●●●       11111001000  00010011111
weird       1993  ●○○●○○●●●●●       11111001001  10010011111
welcome     1994  ○●○●○○●●●●●       11111001010  01010011111
west        1995  ●●○●○○●●●●●       11111001011  11010011111
wet         1996  ○○●●○○●●●●●       11111001100  00110011111
whale       1997  ●○●●○○●●●●●       11111001101  10110011111
what        1998  ○●●●○○●●●●●       11111001110  01110011111
wheat       1999  ●●●●○○●●●●●       11111001111  11110011111
wheel       2000  ○○○○●○●●●●●       11111010000  00001011111
when        2001  ●○○○●○●●●●●       11111010001  10001011111
where       2002  ○●○○●○●●●●●       11111010010  01001011111
whip        2003  ●●○○●○●●●●●       11111010011  11001011111
whisper     2004  ○○●○●○●●●●●       11111010100  00101011111
wide        2005  ●○●○●○●●●●●       11111010101  10101011111
width       2006  ○●●○●○●●●●●       11111010110  01101011111
wife        2007  ●●●○●○●●●●●       11111010111  11101011111
wild        2008  ○○○●●○●●●●●       11111011000  00011011111
will        2009  ●○○●●○●●●●●       11111011001  10011011111
win         2010  ○●○●●○●●●●●       11111011010  01011011111
window      2011  ●●○●●○●●●●●       11111011011  11011011111
wine        2012  ○○●●●○●●●●●       11111011100  00111011111
wing        2013  ●○●●●○●●●●●       11111011101  10111011111
wink        2014  ○●●●●○●●●●●       11111011110  01111011111
winner      2015  ●●●●●○●●●●●       11111011111  11111011111
winter      2016  ○○○○○●●●●●●       11111100000  00000111111
wire        2017  ●○○○○●●●●●●       11111100001  10000111111
wisdom      2018  ○●○○○●●●●●●       11111100010  01000111111
wise        2019  ●●○○○●●●●●●       11111100011  11000111111
wish        2020  ○○●○○●●●●●●       11111100100  00100111111
witness     2021  ●○●○○●●●●●●       11111100101  10100111111
wolf        2022  ○●●○○●●●●●●       11111100110  01100111111
woman       2023  ●●●○○●●●●●●       11111100111  11100111111
wonder      2024  ○○○●○●●●●●●       11111101000  00010111111
wood        2025  ●○○●○●●●●●●       11111101001  10010111111
wool        2026  ○●○●○●●●●●●       11111101010  01010111111
word        2027  ●●○●○●●●●●●       11111101011  11010111111
work        2028  ○○●●○●●●●●●       11111101100  00110111111
world       2029  ●○●●○●●●●●●       11111101101  10110111111
worry       2030  ○●●●○●●●●●●       11111101110  01110111111
worth       2031  ●●●●○●●●●●●       11111101111  11110111111
wrap        2032  ○○○○●●●●●●●       11111110000  00001111111
wreck       2033  ●○○○●●●●●●●       11111110001  10001111111
wrestle     2034  ○●○○●●●●●●●       11111110010  01001111111
wrist       2035  ●●○○●●●●●●●       11111110011  11001111111
write       2036  ○○●○●●●●●●●       11111110100  00101111111
wrong       2037  ●○●○●●●●●●●       11111110101  10101111111
yard        2038  ○●●○●●●●●●●       11111110110  01101111111
year        2039  ●●●○●●●●●●●       11111110111  11101111111
yellow      2040  ○○○●●●●●●●●       11111111000  00011111111
you         2041  ●○○●●●●●●●●       11111111001  10011111111
young       2042  ○●○●●●●●●●●       11111111010  01011111111
youth       2043  ●●○●●●●●●●●       11111111011  11011111111
zebra       2044  ○○●●●●●●●●●       11111111100  00111111111
zero        2045  ●○●●●●●●●●●       11111111101  10111111111
zone        2046  ○●●●●●●●●●●       11111111110  01111111111
zoo         2047  ●●●●●●●●●●●       11111111111  11111111111
